Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,30.440001,30.49,30.129999,30.32,26546100,30.32
2017-01-25,30.42,30.469999,30.219999,30.370001,37523900,30.370001
2017-01-24,29.860001,30.059999,29.82,30.00,31770900,30.00
2017-01-23,30.50,30.51,29.58,29.75,56425500,29.75
2017-01-20,30.76,30.90,30.299999,30.530001,82467000,30.530001
2017-01-19,31.25,31.34,31.049999,31.209999,37571200,31.209999
2017-01-18,31.209999,31.34,31.129999,31.23,24670000,31.23
2017-01-17,31.17,31.450001,31.16,31.27,28717900,31.27
2017-01-13,31.360001,31.450001,31.25,31.360001,24266700,31.360001
2017-01-12,31.450001,31.469999,31.129999,31.389999,29731400,31.389999
2017-01-11,31.24,31.52,31.24,31.469999,28109800,31.469999
2017-01-10,31.459999,31.620001,31.370001,31.370001,26942500,31.370001
2017-01-09,31.639999,31.66,31.43,31.459999,21112100,31.459999
2017-01-06,31.58,31.77,31.360001,31.610001,21886800,31.610001
2017-01-05,31.57,31.75,31.309999,31.52,25495300,31.52
2017-01-04,31.75,31.83,31.620001,31.700001,21311800,31.700001
2017-01-03,31.67,31.84,31.40,31.690001,31889300,31.690001
2016-12-30,31.629999,31.799999,31.51,31.60,25350900,31.60
2016-12-29,31.74,31.879999,31.700001,31.709999,16072300,31.709999
2016-12-28,31.84,31.969999,31.67,31.700001,18444400,31.700001
2016-12-27,31.889999,32.049999,31.85,31.90,15630400,31.90
2016-12-23,31.870001,31.940001,31.77,31.879999,14559700,31.879999
2016-12-22,31.91,31.950001,31.780001,31.82,24193800,31.82
2016-12-21,32.200001,32.240002,32.049999,32.130001,27964700,31.890001
2016-12-20,31.92,32.380001,31.91,32.25,39818200,32.009104
2016-12-19,31.76,32.00,31.709999,31.92,34951800,31.681569
2016-12-16,31.52,31.870001,31.459999,31.75,71976200,31.512838
2016-12-15,31.49,31.950001,31.129999,31.26,43377400,31.026499
2016-12-14,31.610001,31.98,31.440001,31.50,43675300,31.264706
2016-12-13,31.90,32.00,31.610001,31.74,34500400,31.502913
2016-12-12,31.67,31.99,31.66,31.860001,31040700,31.622017
2016-12-09,31.450001,31.92,31.35,31.780001,31227400,31.542615
2016-12-08,31.60,31.700001,31.40,31.530001,28145100,31.294482
2016-12-07,31.01,31.60,30.93,31.60,32897000,31.363959
2016-12-06,31.190001,31.24,31.01,31.17,17573300,30.937171
2016-12-05,31.43,31.450001,31.059999,31.110001,22138300,30.87762
2016-12-02,31.360001,31.49,31.26,31.34,21401000,31.105901
2016-12-01,30.639999,31.459999,30.620001,31.389999,44702000,31.155527
2016-11-30,31.18,31.27,30.75,30.76,45636900,30.530234
2016-11-29,31.280001,31.35,30.98,31.049999,31423700,30.818066
2016-11-28,31.33,31.43,31.209999,31.25,22092700,31.016573
2016-11-25,31.450001,31.49,31.290001,31.440001,13161500,31.205155
2016-11-23,31.24,31.379999,31.18,31.34,24273100,31.105901
2016-11-22,30.93,31.24,30.879999,31.18,27721300,30.947096
2016-11-21,30.690001,30.879999,30.58,30.870001,22136300,30.639413
2016-11-18,30.75,30.90,30.52,30.67,28583900,30.440906
2016-11-17,30.700001,30.870001,30.66,30.790001,17834100,30.56001
2016-11-16,30.65,30.780001,30.540001,30.74,25265800,30.510383
2016-11-15,30.48,30.77,30.24,30.75,40186000,30.520308
2016-11-14,30.74,30.85,30.49,30.51,37740500,30.282101
2016-11-11,30.49,30.77,30.370001,30.709999,42712400,30.480606
2016-11-10,29.85,30.84,29.83,30.41,81324800,30.182848
2016-11-09,29.32,29.809999,29.07,29.629999,54046500,29.408673
2016-11-08,29.370001,29.620001,29.290001,29.42,35829400,29.200243
2016-11-07,28.85,29.33,28.83,29.309999,41254200,29.091064
2016-11-04,28.219999,28.809999,28.219999,28.440001,35864900,28.227564
2016-11-03,28.60,28.60,28.190001,28.280001,23000700,28.068759
2016-11-02,28.860001,28.860001,28.40,28.49,30873300,28.277189
2016-11-01,29.00,29.200001,28.709999,28.879999,32010800,28.664276
2016-10-31,29.48,29.65,29.09,29.10,43563700,28.882633
2016-10-28,28.879999,29.59,28.870001,29.219999,67870800,29.001736
2016-10-27,28.889999,28.959999,28.610001,28.629999,25432900,28.416143
2016-10-26,28.59,29.07,28.549999,28.870001,24357200,28.654352
2016-10-25,28.940001,29.01,28.620001,28.65,26480700,28.435994
2016-10-24,29.00,29.209999,28.90,28.92,31139700,28.703978
2016-10-21,28.440001,29.00,28.33,28.98,64153200,28.763529
2016-10-20,29.10,29.200001,28.959999,29.07,28433300,28.852857
2016-10-19,29.059999,29.219999,29.030001,29.059999,29188000,28.842931
2016-10-18,29.030001,29.08,28.90,28.98,27562400,28.763529
2016-10-17,28.90,28.99,28.700001,28.85,39732600,28.634501
2016-10-14,28.959999,29.030001,28.82,28.889999,28181400,28.674201
2016-10-13,28.780001,28.90,28.66,28.77,28392600,28.555099
2016-10-12,28.92,29.02,28.809999,28.90,22754700,28.684127
2016-10-11,28.75,29.030001,28.690001,28.92,30942200,28.703978
2016-10-10,29.00,29.309999,28.809999,28.860001,33981900,28.644426
2016-10-07,29.059999,29.209999,28.92,29.08,37840100,28.862782
2016-10-06,29.40,29.50,29.139999,29.27,28087900,29.051364
2016-10-05,29.52,29.700001,29.40,29.50,24936900,29.279645
2016-10-04,29.709999,29.75,29.450001,29.50,31127700,29.279645
2016-10-03,29.459999,29.700001,29.40,29.639999,19794100,29.418599
2016-09-30,29.60,29.85,29.58,29.620001,36120000,29.39875
2016-09-29,29.809999,30.10,29.440001,29.530001,38873700,29.309422
2016-09-28,29.92,29.940001,29.60,29.90,26750600,29.676657
2016-09-27,29.60,29.969999,29.469999,29.879999,25491900,29.656806
2016-09-26,29.799999,29.809999,29.52,29.540001,25905800,29.319347
2016-09-23,30.02,30.049999,29.809999,29.889999,22821700,29.666731
2016-09-22,29.959999,30.110001,29.93,30.040001,29379900,29.815613
2016-09-21,29.75,29.92,29.59,29.85,29031600,29.627031
2016-09-20,29.67,29.799999,29.620001,29.67,29646500,29.448375
2016-09-19,29.780001,29.959999,29.40,29.43,30501300,29.210168
2016-09-16,29.629999,29.75,29.540001,29.68,64934700,29.458301
2016-09-15,29.549999,29.85,29.42,29.75,35099900,29.527778
2016-09-14,29.809999,30.00,29.67,29.700001,51077600,29.24987
2016-09-13,30.219999,30.25,29.719999,29.85,45066200,29.397596
2016-09-12,30.00,30.57,29.84,30.49,41407300,30.027896
2016-09-09,30.82,30.82,30.110001,30.110001,44619700,29.653656
2016-09-08,31.00,31.049999,30.90,31.040001,30256200,30.569561
2016-09-07,30.99,31.059999,30.799999,31.059999,27266900,30.589257
2016-09-06,31.309999,31.34,30.799999,31.049999,40955700,30.579408
2016-09-02,31.25,31.450001,31.23,31.290001,20807500,30.815772
2016-09-01,31.15,31.290001,30.959999,31.200001,41255600,30.727136
2016-08-31,31.370001,31.370001,31.190001,31.24,33416300,30.766529
2016-08-30,31.34,31.469999,31.299999,31.370001,18137900,30.89456
2016-08-29,31.18,31.450001,31.17,31.360001,21248900,30.884711
2016-08-26,31.27,31.459999,31.139999,31.23,22265600,30.75668
2016-08-25,31.190001,31.299999,31.129999,31.209999,17027900,30.736983
2016-08-24,31.27,31.35,31.17,31.219999,22045100,30.746832
2016-08-23,31.450001,31.57,31.23,31.23,32116700,30.75668
2016-08-22,31.17,31.43,31.08,31.32,20460500,30.845317
2016-08-19,31.32,31.40,31.18,31.25,24742800,30.776378
2016-08-18,31.25,31.43,31.190001,31.43,28041200,30.95365
2016-08-17,31.26,31.33,31.18,31.290001,17598100,30.815772
2016-08-16,31.139999,31.290001,31.08,31.190001,22383600,30.717288
2016-08-15,31.299999,31.35,31.219999,31.24,19553300,30.766529
2016-08-12,31.200001,31.280001,31.18,31.24,21327000,30.766529
2016-08-11,31.309999,31.370001,31.200001,31.290001,37986200,30.815772
2016-08-10,31.25,31.34,31.200001,31.27,18538100,30.796075
2016-08-09,31.23,31.35,31.15,31.299999,20108800,30.825619
2016-08-08,31.299999,31.40,31.209999,31.27,20434100,30.796075
2016-08-05,31.27,31.450001,31.219999,31.280001,21577300,30.805924
2016-08-04,31.200001,31.25,31.09,31.17,20293700,30.69759
2016-08-03,31.030001,31.24,31.030001,31.129999,20006000,30.658196
2016-08-02,31.110001,31.16,31.00,31.049999,27000600,30.579408
2016-08-01,31.120001,31.219999,31.02,31.15,31154900,30.677893
2016-07-29,31.280001,31.43,31.110001,31.139999,50052200,30.668044
2016-07-28,31.200001,31.309999,31.08,31.25,30297500,30.776378
2016-07-27,31.49,31.559999,31.120001,31.280001,39256500,30.805924
2016-07-26,31.67,31.73,31.309999,31.469999,36903900,30.993043
2016-07-25,32.07,32.080002,31.379999,31.639999,45728700,31.160466
2016-07-22,31.73,32.07,31.690001,32.060001,57763800,31.574103
2016-07-21,32.73,32.849998,32.490002,32.59,42406400,32.096069
2016-07-20,32.959999,33.00,32.700001,32.779999,35557800,32.283188
2016-07-19,32.75,32.950001,32.720001,32.93,33557700,32.430916
2016-07-18,32.889999,32.939999,32.66,32.91,38265100,32.411219
2016-07-15,32.759998,32.950001,32.740002,32.880001,42308800,32.381675
2016-07-14,32.50,32.720001,32.490002,32.630001,33877800,32.135464
2016-07-13,32.259998,32.48,32.25,32.360001,32464400,31.869555
2016-07-12,32.310001,32.490002,32.130001,32.259998,38091000,31.771069
2016-07-11,32.259998,32.50,32.18,32.209999,37979100,31.721827
2016-07-08,31.99,32.27,31.99,32.200001,38531700,31.71198
2016-07-07,31.809999,32.099998,31.74,31.82,37517900,31.337739
2016-07-06,31.27,31.799999,31.27,31.74,32105900,31.258951
2016-07-05,31.25,31.530001,31.120001,31.450001,32360500,30.973347
2016-07-01,31.48,31.629999,31.32,31.49,32700300,31.01274
2016-06-30,30.66,31.50,30.65,31.48,54514500,31.002891
2016-06-29,30.51,30.620001,30.299999,30.549999,35868200,30.086986
2016-06-28,29.809999,30.00,29.67,29.940001,38208500,29.486233
2016-06-27,29.540001,29.620001,29.17,29.32,54040100,28.875628
2016-06-24,30.110001,30.549999,29.75,29.82,85669200,29.36805
2016-06-23,31.059999,31.209999,30.969999,31.190001,40229000,30.717288
2016-06-22,31.00,31.10,30.77,30.780001,36011800,30.313502
2016-06-21,30.879999,31.01,30.870001,30.940001,36034300,30.471077
2016-06-20,30.85,31.32,30.83,30.83,47891100,30.362743
2016-06-17,30.65,30.719999,30.450001,30.60,55635900,30.136229
2016-06-16,30.139999,30.74,30.08,30.639999,67618100,30.175622
2016-06-15,30.48,30.91,30.469999,30.59,43765200,29.899866
2016-06-14,29.82,30.459999,29.790001,30.440001,43700500,29.753251
2016-06-13,29.98,30.129999,29.790001,29.83,32960000,29.157012
2016-06-10,30.02,30.280001,29.93,30.040001,29430000,29.362275
2016-06-09,30.16,30.33,30.02,30.24,26527200,29.557762
2016-06-08,30.23,30.50,30.16,30.309999,29141300,29.626182
2016-06-07,30.139999,30.41,30.129999,30.139999,25650900,29.460018
2016-06-06,30.00,30.23,29.950001,30.120001,18662100,29.44047
2016-06-03,30.02,30.049999,29.809999,29.940001,23772900,29.264531
2016-06-02,30.01,30.049999,29.85,30.049999,19031300,29.372048
2016-06-01,30.040001,30.139999,29.889999,30.110001,21126700,29.430696
2016-05-31,30.120001,30.34,30.07,30.23,30296300,29.547987
2016-05-27,30.139999,30.190001,30.040001,30.120001,19273200,29.44047
2016-05-26,30.07,30.23,30.00,30.02,22647400,29.342726
2016-05-25,30.00,30.32,29.959999,30.09,27658300,29.411146
2016-05-24,29.719999,29.969999,29.690001,29.85,24220300,29.176561
2016-05-23,29.52,29.67,29.41,29.49,23615400,28.824683
2016-05-20,29.530001,29.68,29.43,29.559999,35004500,28.893103
2016-05-19,29.33,29.450001,29.059999,29.360001,34044800,28.697616
2016-05-18,29.700001,29.85,29.43,29.610001,27805500,28.941976
2016-05-17,29.889999,30.09,29.58,29.709999,33520100,29.039718
2016-05-16,29.549999,30.129999,29.52,29.959999,25698300,29.284078
2016-05-13,29.969999,30.110001,29.540001,29.639999,35266900,28.971298
2016-05-12,29.84,30.200001,29.84,30.09,47269600,29.411146
2016-05-11,30.50,30.75,30.34,30.34,23610500,29.655506
2016-05-10,29.99,30.559999,29.98,30.48,27130400,29.792347
2016-05-09,30.049999,30.09,29.629999,29.870001,27154300,29.19611
2016-05-06,29.68,30.24,29.41,30.120001,28295600,29.44047
2016-05-05,30.139999,30.24,29.799999,29.889999,31699200,29.215658
2016-05-04,30.40,30.42,29.889999,30.07,39794600,29.391597
2016-05-03,30.639999,30.709999,30.35,30.629999,27576800,29.938963
2016-05-02,30.639999,30.99,30.629999,30.889999,17191100,30.193097
2016-04-29,30.75,30.969999,30.60,30.75,28902600,30.056256
2016-04-28,30.74,31.219999,30.700001,30.90,28826800,30.202872
2016-04-27,30.940001,31.01,30.82,30.93,22943900,30.232196
2016-04-26,30.84,30.98,30.74,30.90,28684900,30.202872
2016-04-25,30.809999,30.860001,30.40,30.68,35476500,29.987836
2016-04-22,31.030001,31.18,30.309999,30.76,56497500,30.066031
2016-04-21,31.120001,31.280001,30.85,30.98,39651400,30.281067
2016-04-20,31.200001,31.35,31.049999,31.15,26550900,30.447231
2016-04-19,31.139999,31.209999,31.01,31.15,22872400,30.447231
2016-04-18,30.90,31.190001,30.90,31.059999,21068200,30.359262
2016-04-15,31.07,31.10,30.93,31.030001,24440100,30.32994
2016-04-14,30.99,31.08,30.860001,31.02,21497400,30.320165
2016-04-13,30.98,31.10,30.940001,30.98,23692700,30.281067
2016-04-12,30.68,30.93,30.58,30.809999,27555300,30.114902
2016-04-11,30.83,31.00,30.709999,30.709999,25126500,30.017158
2016-04-08,30.90,31.08,30.690001,30.790001,26808900,30.095355
2016-04-07,30.719999,30.780001,30.51,30.629999,33563500,29.938963
2016-04-06,30.889999,31.50,30.639999,30.90,36643200,30.202872
2016-04-05,30.950001,31.129999,30.780001,30.98,31282100,30.281067
2016-04-04,31.690001,31.709999,31.09,31.23,44929000,30.525427
2016-04-01,31.50,32.02,31.450001,31.93,39399600,31.209635
2016-03-31,31.889999,32.049999,31.76,31.790001,36834300,31.072794
2016-03-30,31.76,31.950001,31.73,31.83,35094000,31.11189
2016-03-29,31.459999,31.58,31.280001,31.48,38549800,30.769786
2016-03-28,31.139999,31.700001,31.10,31.49,39486800,30.779561
2016-03-24,30.91,31.110001,30.82,31.110001,27603000,30.408135
2016-03-23,31.040001,31.24,31.01,31.07,27235100,30.369036
2016-03-22,30.98,31.24,30.969999,31.059999,26036000,30.359262
2016-03-21,30.85,31.200001,30.790001,31.09,27368300,30.388586
2016-03-18,31.09,31.15,30.90,30.92,52373900,30.222421
2016-03-17,30.219999,31.110001,30.18,30.959999,60643300,30.261518
2016-03-16,30.24,30.309999,30.07,30.17,32847000,29.489341
2016-03-15,30.030001,30.370001,30.030001,30.280001,28899000,29.59686
2016-03-14,30.219999,30.370001,30.08,30.27,22160300,29.587086
2016-03-11,30.139999,30.58,30.139999,30.34,32159600,29.655506
2016-03-10,30.17,30.290001,29.790001,29.940001,33147900,29.264531
2016-03-09,30.16,30.200001,29.969999,30.049999,24820900,29.372048
2016-03-08,30.08,30.219999,29.969999,30.059999,31147900,29.381823
2016-03-07,30.26,30.450001,30.129999,30.290001,26247200,29.606635
2016-03-04,30.219999,30.59,30.219999,30.459999,33034900,29.772798
2016-03-03,30.200001,30.40,30.059999,30.219999,28112900,29.538213
2016-03-02,29.780001,30.18,29.76,30.18,37215200,29.499116
2016-03-01,29.41,29.969999,29.309999,29.879999,32332700,29.205883
2016-02-29,29.440001,29.549999,29.120001,29.139999,34166400,28.482578
2016-02-26,29.299999,29.559999,29.290001,29.40,29345100,28.736713
2016-02-25,28.799999,29.280001,28.780001,29.23,35881300,28.570548
2016-02-24,28.90,29.049999,28.40,28.959999,44928500,28.081829
2016-02-23,29.209999,29.360001,29.08,29.219999,31151200,28.333945
2016-02-22,29.02,29.49,29.02,29.41,38513100,28.518184
2016-02-19,28.940001,29.129999,28.68,29.02,36065100,28.140011
2016-02-18,29.299999,29.35,28.99,29.08,31054300,28.198191
2016-02-17,29.139999,29.610001,29.120001,29.34,38254800,28.450307
2016-02-16,28.58,29.030001,28.42,28.860001,47218800,27.984863
2016-02-12,27.57,28.26,27.360001,28.26,57645600,27.403056
2016-02-11,27.75,28.030001,27.10,27.450001,80550000,26.617619
2016-02-10,28.370001,28.700001,28.25,28.299999,32492600,27.441842
2016-02-09,27.75,28.540001,27.75,28.280001,37031600,27.42245
2016-02-08,28.219999,28.27,27.76,28.17,48096400,27.315785
2016-02-05,29.15,29.200001,28.299999,28.540001,51984700,27.674566
2016-02-04,28.65,29.459999,28.49,29.18,53998300,28.295159
2016-02-03,28.389999,28.690001,27.870001,28.67,44261600,27.800623
2016-02-02,28.27,28.290001,27.92,28.24,40071800,27.383662
2016-02-01,29.01,29.030001,28.559999,28.639999,43446200,27.771533
2016-01-29,28.459999,29.110001,28.34,29.10,51576200,28.217585
2016-01-28,28.219999,28.35,27.93,28.209999,40069900,27.354571
2016-01-27,28.200001,28.58,27.82,28.00,46116400,27.15094
2016-01-26,28.07,28.540001,28.049999,28.309999,42432900,27.451539
2016-01-25,28.32,28.49,28.00,28.040001,44848800,27.189728
2016-01-22,28.549999,28.559999,27.709999,28.24,87869400,27.383662
2016-01-21,28.129999,28.99,28.129999,28.59,56037600,27.723049
2016-01-20,27.93,28.43,27.48,28.00,88062800,27.15094
2016-01-19,28.719999,28.889999,28.200001,28.49,51986800,27.626081
2016-01-15,28.139999,28.76,28.10,28.49,69145900,27.626081
2016-01-14,28.309999,29.25,28.290001,29.059999,65236900,28.178797
2016-01-13,28.91,29.059999,28.200001,28.24,55717700,27.383662
2016-01-12,28.76,28.879999,28.34,28.639999,47682800,27.771533
2016-01-11,28.540001,29.92,28.25,28.58,58433400,27.713352
2016-01-08,29.200001,29.299999,28.34,28.450001,74496100,27.587295
2016-01-07,29.65,29.959999,28.85,28.969999,92267400,28.091526
2016-01-06,30.27,30.719999,30.049999,30.25,62652700,29.332712
2016-01-05,30.68,30.84,30.450001,30.74,55176200,29.807853
2016-01-04,30.549999,30.76,30.25,30.709999,62881500,29.778762
2015-12-31,30.860001,31.49,30.790001,31.15,52228400,30.205421
2015-12-30,31.280001,31.440001,31.01,31.049999,29127700,30.108453
2015-12-29,31.01,31.48,31.00,31.280001,33400400,30.33148
2015-12-28,30.74,31.00,30.610001,30.90,26557700,29.963001
2015-12-24,30.90,30.93,30.690001,30.83,13518900,29.895124
2015-12-23,30.52,31.00,30.52,30.950001,35775400,30.011486
2015-12-22,30.49,30.629999,30.16,30.49,42256400,29.565434
2015-12-21,30.42,30.60,30.15,30.40,40719200,29.478163
2015-12-18,30.389999,30.58,30.280001,30.280001,83144800,29.361803
2015-12-17,30.940001,31.049999,30.530001,30.549999,58024100,29.623614
2015-12-16,30.459999,31.23,30.42,30.98,73831500,29.817549
2015-12-15,30.40,30.610001,30.219999,30.32,59345600,29.182314
2015-12-14,30.26,30.459999,29.77,30.26,65059300,29.124566
2015-12-11,30.32,30.610001,30.15,30.26,62907700,29.124566
2015-12-10,30.440001,30.93,30.370001,30.65,46332900,29.499932
2015-12-09,30.02,30.59,29.959999,30.469999,50560400,29.326685
2015-12-08,30.07,30.379999,29.91,30.190001,53265500,29.057193
2015-12-07,30.42,30.440001,30.120001,30.370001,66681300,29.230439
2015-12-04,30.07,30.52,29.959999,30.49,58203200,29.345935
2015-12-03,30.09,30.25,29.969999,30.030001,62969900,28.903197
2015-12-02,30.09,30.23,29.879999,29.969999,44123600,28.845447
2015-12-01,29.99,30.25,29.870001,30.17,54244900,29.037943
2015-11-30,30.33,30.450001,29.940001,29.940001,79716600,28.816573
2015-11-27,30.27,30.379999,30.190001,30.360001,33143900,29.220814
2015-11-25,30.639999,30.65,30.299999,30.360001,54159700,29.220814
2015-11-24,30.33,30.870001,30.280001,30.66,145876700,29.509557
2015-11-23,30.59,30.82,30.26,30.59,135391500,29.442183
2015-11-20,30.26,30.99,30.209999,30.66,210757500,29.509557
2015-11-19,30.379999,30.51,30.25,30.27,98930100,29.134191
2015-11-18,30.219999,30.57,30.10,30.52,177775400,29.37481
2015-11-17,30.57,30.75,30.00,30.32,431332600,29.182314
2015-11-16,29.879999,30.60,29.77,30.360001,284804200,29.220814
2015-11-13,29.860001,30.49,29.809999,30.280001,247153700,29.143816
2015-11-12,30.41,30.90,30.110001,30.16,292791600,29.028318
2015-11-11,30.200001,30.82,30.200001,30.67,197598800,29.519182
2015-11-10,29.629999,30.27,29.610001,30.120001,239465000,28.98982
2015-11-09,29.76,29.950001,29.379999,29.75,145462200,28.633702
2015-11-06,29.440001,29.950001,29.25,29.92,126109800,28.797323
2015-11-05,29.469999,29.74,29.309999,29.639999,122593500,28.527829
2015-11-04,29.549999,29.790001,29.459999,29.540001,105133900,28.431583
2015-11-03,29.209999,29.790001,29.18,29.59,95829900,28.479706
2015-11-02,28.940001,29.40,28.879999,29.40,59504700,28.296835
2015-10-30,29.219999,29.33,28.91,28.92,71021400,27.834846
2015-10-29,29.17,29.379999,29.059999,29.34,42373900,28.239087
2015-10-28,29.33,29.58,29.15,29.389999,71077500,28.28721
2015-10-27,29.41,29.639999,29.23,29.459999,67606200,28.354583
2015-10-26,29.52,29.66,29.41,29.549999,48757400,28.441206
2015-10-23,29.700001,29.83,29.42,29.51,76867200,28.402708
2015-10-22,28.950001,29.74,28.91,29.58,81476400,28.470081
2015-10-21,28.790001,29.24,28.780001,28.85,65404100,27.767473
2015-10-20,28.82,29.00,28.700001,28.780001,73599900,27.7001
2015-10-19,28.799999,29.559999,28.75,28.99,131036400,27.902219
