Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,81.870003,82.260002,81.220001,81.269997,2533800,81.269997
2017-01-25,81.419998,82.32,81.330002,82.029999,5111500,82.029999
2017-01-24,81.720001,81.809998,80.620003,81.230003,4213400,81.230003
2017-01-23,81.400002,82.489998,81.349998,81.550003,3701500,81.550003
2017-01-20,84.110001,84.480003,81.010002,81.720001,10946600,81.720001
2017-01-19,84.080002,84.089996,83.339996,83.489998,2563700,83.489998
2017-01-18,84.209999,84.400002,83.629997,84.120003,2938600,84.120003
2017-01-17,83.529999,84.550003,83.50,84.220001,3329700,84.220001
2017-01-13,83.940002,84.139999,83.370003,83.82,2934400,83.82
2017-01-12,84.150002,84.269997,83.349998,83.919998,3242300,83.919998
2017-01-11,83.010002,85.260002,83.010002,84.43,6500800,84.43
2017-01-10,82.410004,83.400002,82.00,82.669998,3036900,82.669998
2017-01-09,82.809998,82.910004,81.949997,82.550003,3293000,82.550003
2017-01-06,83.080002,83.690002,82.449997,83.099998,3949700,83.099998
2017-01-05,82.00,83.370003,80.309998,83.029999,7284300,83.029999
2017-01-04,83.300003,83.50,82.779999,82.980003,4104900,82.980003
2017-01-03,83.099998,83.379997,82.300003,82.959999,4942700,82.959999
2016-12-30,83.459999,83.620003,82.419998,82.760002,3343200,82.760002
2016-12-29,83.470001,83.879997,83.160004,83.480003,3697300,83.480003
2016-12-28,84.510002,84.839996,83.419998,83.589996,3969700,83.589996
2016-12-27,84.459999,85.290001,84.209999,84.489998,2765600,84.489998
2016-12-23,84.330002,84.769997,83.75,84.279999,2181000,84.279999
2016-12-22,85.50,85.849998,83.900002,84.269997,3888800,84.269997
2016-12-21,86.220001,86.419998,85.699997,85.849998,2166700,85.849998
2016-12-20,87.00,87.419998,85.889999,86.279999,4141700,86.279999
2016-12-19,86.239998,86.440002,85.589996,86.059998,3040000,86.059998
2016-12-16,86.220001,87.190002,85.839996,86.080002,7098200,86.080002
2016-12-15,85.629997,86.300003,85.019997,85.720001,3461600,85.720001
2016-12-14,87.769997,88.00,85.519997,85.739998,5033800,85.739998
2016-12-13,86.830002,87.940002,86.25,87.730003,3479000,87.730003
2016-12-12,85.879997,86.910004,85.879997,86.639999,2205100,86.639999
2016-12-09,84.769997,86.68,84.519997,86.389999,3408100,86.389999
2016-12-08,85.07,85.220001,83.800003,84.279999,3142800,84.279999
2016-12-07,84.160004,85.040001,84.040001,84.989998,4848100,84.989998
2016-12-06,84.82,85.00,84.290001,84.709999,2896700,84.709999
2016-12-05,85.110001,85.269997,84.620003,85.00,2793300,85.00
2016-12-02,84.389999,85.440002,83.889999,85.110001,3918000,85.110001
2016-12-01,84.830002,85.050003,83.699997,84.220001,4461000,84.220001
2016-11-30,85.75,85.839996,84.410004,84.730003,5926500,84.730003
2016-11-29,85.330002,86.260002,84.660004,85.529999,3686500,85.529999
2016-11-28,84.099998,85.57,84.050003,85.349998,3938200,85.349998
2016-11-25,84.160004,84.529999,84.00,84.43,1586900,84.43
2016-11-23,83.93,84.150002,83.610001,84.050003,2788000,84.050003
2016-11-22,84.470001,84.720001,83.769997,83.919998,3500300,83.919998
2016-11-21,83.150002,84.510002,83.040001,84.419998,3106200,84.419998
2016-11-18,83.529999,83.870003,82.559998,83.269997,4863700,83.269997
2016-11-17,83.07,84.099998,82.25,83.989998,3806700,83.989998
2016-11-16,83.25,83.360001,82.449997,83.190002,3831500,83.190002
2016-11-15,81.900002,83.349998,81.370003,83.279999,6495500,83.279999
2016-11-14,81.040001,81.879997,80.779999,81.760002,4500900,81.385004
2016-11-11,80.760002,81.120003,79.870003,81.050003,3802600,80.678261
2016-11-10,82.00,82.300003,79.82,80.870003,5293300,80.499086
2016-11-09,79.470001,82.209999,79.25,81.540001,7290500,81.166011
2016-11-08,78.209999,80.550003,77.019997,80.089996,12055400,79.722657
2016-11-07,81.559998,81.82,81.029999,81.449997,4453600,81.07642
2016-11-04,80.050003,81.260002,80.050003,80.349998,7023900,79.981467
2016-11-03,82.349998,82.459999,80.690002,80.779999,4586500,80.409495
2016-11-02,81.300003,82.290001,81.279999,81.93,9783100,81.554222
2016-11-01,81.949997,82.730003,81.790001,82.459999,5130800,82.08179
2016-10-31,81.480003,82.800003,81.389999,82.730003,4662100,82.350556
2016-10-28,80.230003,81.150002,79.330002,81.099998,7971200,80.728027
2016-10-27,82.18,82.690002,81.82,82.160004,2779800,81.78317
2016-10-26,81.529999,82.970001,81.529999,82.300003,3068300,81.922528
2016-10-25,83.099998,83.25,82.18,82.449997,3318500,82.071834
2016-10-24,81.650002,83.339996,81.580002,83.110001,4751500,82.72881
2016-10-21,80.699997,81.620003,80.279999,81.57,4762900,81.195873
2016-10-20,78.75,81.300003,78.610001,81.019997,11159300,80.648392
2016-10-19,78.059998,78.07,76.260002,77.18,5890700,76.826008
2016-10-18,78.629997,78.900002,77.989998,78.080002,3097100,77.721882
2016-10-17,79.50,79.699997,77.830002,78.010002,3803500,77.652203
2016-10-14,78.43,78.690002,77.940002,78.309998,2657300,77.950823
2016-10-13,77.839996,78.629997,77.699997,78.199997,3458700,77.841327
2016-10-12,78.160004,78.919998,77.809998,78.300003,3474400,77.940874
2016-10-11,79.449997,79.510002,77.800003,78.080002,5524000,77.721882
2016-10-10,80.00,80.099998,79.389999,79.650002,2765000,79.284681
2016-10-07,80.650002,80.75,79.25,79.879997,2851500,79.513621
2016-10-06,80.699997,80.699997,79.739998,80.300003,3661700,79.931701
2016-10-05,80.300003,80.900002,80.18,80.510002,2498200,80.140737
2016-10-04,80.849998,81.489998,80.029999,80.239998,3111600,79.871971
2016-10-03,80.269997,80.690002,80.019997,80.379997,2306200,80.011328
2016-09-30,79.589996,80.919998,79.019997,80.620003,4490200,80.250233
2016-09-29,80.400002,80.709999,78.900002,79.209999,3656900,78.846696
2016-09-28,81.18,81.470001,80.150002,80.660004,3109500,80.29005
2016-09-27,80.769997,81.510002,80.540001,80.970001,2898700,80.598626
2016-09-26,81.660004,81.900002,80.559998,80.68,2916400,80.309955
2016-09-23,82.529999,82.589996,82.029999,82.050003,2715800,81.673674
2016-09-22,81.239998,82.709999,80.919998,82.379997,6983100,82.002155
2016-09-21,80.739998,80.980003,79.650002,80.580002,4603500,80.210415
2016-09-20,80.910004,81.290001,80.620003,80.639999,2510000,80.270138
2016-09-19,81.839996,81.839996,80.440002,80.809998,3753100,80.439356
2016-09-16,80.50,81.730003,80.360001,81.489998,8924900,81.116238
2016-09-15,80.830002,81.660004,80.690002,81.400002,5510000,81.026654
2016-09-14,81.779999,82.480003,80.709999,80.980003,4862300,80.608582
2016-09-13,83.00,83.160004,81.980003,82.25,3600400,81.872754
2016-09-12,82.949997,83.739998,82.660004,83.57,4982800,83.186699
2016-09-09,83.699997,84.239998,82.769997,82.919998,6937600,82.539679
2016-09-08,84.25,85.080002,82.879997,84.669998,9886000,84.281653
2016-09-07,81.82,83.059998,81.410004,82.879997,3315900,82.499862
2016-09-06,82.050003,82.139999,81.199997,81.639999,3726000,81.265551
2016-09-02,81.870003,82.25,81.720001,82.220001,3029600,81.842893
2016-09-01,81.040001,81.709999,80.589996,81.540001,3296100,81.166011
2016-08-31,80.540001,80.830002,80.25,80.709999,3282700,80.339816
2016-08-30,80.410004,80.550003,79.980003,80.519997,2782900,80.150685
2016-08-29,79.800003,80.860001,79.709999,80.349998,3467800,79.981467
2016-08-26,80.309998,80.43,78.510002,79.389999,6064800,79.025871
2016-08-25,81.330002,81.629997,79.809998,80.18,4233500,79.812249
2016-08-24,82.059998,82.440002,81.25,81.470001,3993300,81.096333
2016-08-23,83.00,83.07,82.269997,82.379997,1883700,82.002155
2016-08-22,82.660004,83.00,82.220001,82.739998,2639900,82.360504
2016-08-19,82.32,82.830002,82.019997,82.589996,2757200,82.211191
2016-08-18,82.650002,82.910004,82.040001,82.650002,2886300,82.270921
2016-08-17,82.580002,82.889999,81.730003,82.519997,3844200,82.141512
2016-08-16,83.400002,83.50,82.769997,82.800003,3374600,82.046951
2016-08-15,83.300003,83.879997,82.660004,83.610001,3611100,82.849582
2016-08-12,82.639999,83.360001,82.50,83.32,3574200,82.562218
2016-08-11,82.940002,83.230003,82.389999,82.910004,6038400,82.155951
2016-08-10,81.059998,82.900002,81.019997,82.50,8216400,81.749676
2016-08-09,80.82,81.169998,80.489998,80.889999,3465200,80.154318
2016-08-08,80.419998,80.800003,80.309998,80.629997,3865500,79.896681
2016-08-05,80.25,81.290001,79.919998,80.529999,3768900,79.797592
2016-08-04,79.849998,80.290001,79.660004,79.849998,3179300,79.123776
2016-08-03,79.019997,80.019997,78.849998,79.599998,3818300,78.87605
2016-08-02,79.599998,80.139999,78.419998,78.949997,3905500,78.23196
2016-08-01,78.879997,79.489998,78.050003,79.269997,4581500,78.549049
2016-07-29,79.489998,79.57,78.800003,79.25,3730300,78.529234
2016-07-28,79.769997,79.919998,79.040001,79.459999,3906300,78.737324
2016-07-27,80.580002,80.599998,79.550003,79.940002,9054500,79.212961
2016-07-26,81.349998,82.349998,81.110001,81.330002,3130000,80.590319
2016-07-25,81.410004,81.610001,80.790001,81.57,3352800,80.828134
2016-07-22,82.330002,82.410004,81.230003,81.349998,3159800,80.610134
2016-07-21,82.449997,82.75,81.489998,81.699997,2828500,80.956949
2016-07-20,82.370003,82.639999,82.150002,82.510002,4919200,81.759587
2016-07-19,83.029999,83.199997,81.980003,82.209999,4914300,81.462313
2016-07-18,82.589996,83.559998,82.330002,82.779999,3805100,82.027128
2016-07-15,84.339996,84.379997,82.25,82.510002,6818700,81.759587
2016-07-14,82.660004,84.190002,82.330002,83.779999,7001400,83.018034
2016-07-13,81.690002,82.230003,81.209999,81.769997,4565400,81.026312
2016-07-12,81.900002,82.620003,81.050003,81.220001,5223000,80.481319
2016-07-11,81.830002,82.309998,81.669998,82.010002,3607700,81.264135
2016-07-08,81.010002,81.800003,80.629997,81.800003,5973500,81.056046
2016-07-07,81.519997,81.970001,80.379997,80.50,5560000,79.767866
2016-07-06,82.150002,82.839996,80.580002,81.550003,10537400,80.808319
2016-07-05,82.879997,84.970001,82.699997,83.519997,7629300,82.760396
2016-07-01,83.709999,83.919998,82.849998,83.059998,4858300,82.304581
2016-06-30,83.389999,83.449997,82.209999,83.269997,5813200,82.51267
2016-06-29,80.339996,83.339996,80.029999,83.190002,7039000,82.433403
2016-06-28,79.709999,79.980003,78.989998,79.879997,4876700,79.153502
2016-06-27,80.940002,81.360001,79.010002,79.389999,6714500,78.66796
2016-06-24,81.709999,82.970001,81.50,81.779999,10136200,81.036223
2016-06-23,84.300003,85.089996,83.709999,85.059998,4708200,84.286391
2016-06-22,82.949997,83.800003,82.900002,83.739998,4711500,82.978396
2016-06-21,83.099998,83.389999,82.860001,83.199997,3462500,82.443307
2016-06-20,83.370003,84.459999,82.769997,82.93,5121400,82.175766
2016-06-17,83.519997,83.559998,81.790001,82.650002,5993300,81.898313
2016-06-16,82.00,83.330002,81.330002,83.150002,3658800,82.393766
2016-06-15,84.230003,84.889999,83.089996,83.209999,5276400,82.453218
2016-06-14,83.889999,84.440002,82.650002,84.339996,6807000,83.572938
2016-06-13,82.50,84.449997,82.059998,84.360001,8597400,83.59276
2016-06-10,78.669998,83.480003,78.650002,82.470001,10952700,81.71995
2016-06-09,79.389999,79.779999,78.650002,79.010002,2411600,78.291419
2016-06-08,78.980003,79.709999,78.970001,79.440002,2778400,78.717509
2016-06-07,79.209999,79.989998,79.00,79.120003,2931800,78.400419
2016-06-06,78.68,79.209999,78.410004,78.660004,2621000,77.944604
2016-06-03,79.139999,79.139999,78.160004,78.68,2488400,77.964419
2016-06-02,78.199997,79.50,78.029999,79.099998,4018600,78.380597
2016-06-01,77.419998,78.220001,77.220001,78.099998,3916700,77.389692
2016-05-31,76.940002,77.589996,76.650002,77.400002,5007500,76.696061
2016-05-27,77.089996,77.330002,76.550003,77.00,3003100,76.299698
2016-05-26,77.459999,77.529999,76.739998,76.779999,3719600,76.081697
2016-05-25,77.309998,77.919998,77.199997,77.629997,4013500,76.923965
2016-05-24,76.720001,77.650002,76.709999,77.150002,4688700,76.448335
2016-05-23,77.019997,77.260002,76.400002,76.529999,3624700,75.833971
2016-05-20,76.339996,77.529999,76.300003,77.220001,6201600,76.517698
2016-05-19,76.019997,76.980003,75.739998,76.209999,3015000,75.516882
2016-05-18,76.489998,77.019997,75.849998,76.540001,5884800,75.843882
2016-05-17,77.690002,77.989998,76.470001,76.480003,7683300,75.78443
2016-05-16,78.410004,79.230003,78.010002,78.870003,5209200,78.152693
2016-05-13,79.589996,80.040001,78.550003,78.610001,4062800,77.538333
2016-05-12,80.370003,80.57,79.68,79.870003,3066900,78.781158
2016-05-11,80.949997,80.949997,79.43,80.230003,5918000,79.136251
2016-05-10,80.970001,81.25,80.650002,80.919998,3197500,79.816839
2016-05-09,79.50,81.309998,79.400002,80.889999,6226900,79.787249
2016-05-06,79.00,79.50,78.239998,79.43,11411600,78.347154
2016-05-05,81.339996,81.800003,81.010002,81.459999,2531000,80.349478
2016-05-04,81.040001,81.720001,80.839996,81.489998,3480700,80.379068
2016-05-03,79.860001,81.919998,79.660004,81.459999,5294000,80.349478
2016-05-02,79.099998,80.790001,79.019997,80.559998,3250300,79.461746
2016-04-29,79.580002,79.760002,78.279999,79.279999,5421200,78.199197
2016-04-28,81.110001,81.379997,80.160004,80.349998,2876600,79.25461
2016-04-27,81.470001,81.970001,81.050003,81.559998,3584200,80.448113
2016-04-26,80.82,81.400002,80.370003,81.309998,3400900,80.201522
2016-04-25,80.019997,80.400002,79.709999,80.389999,2961700,79.294065
2016-04-22,80.540001,81.110001,79.720001,80.139999,3764000,79.047474
2016-04-21,81.050003,81.489998,80.519997,80.559998,3222000,79.461746
2016-04-20,82.089996,82.18,81.07,81.129997,3067100,80.023975
2016-04-19,81.269997,81.959999,80.699997,81.839996,5384900,80.724295
2016-04-18,81.18,81.470001,80.860001,81.25,4129200,80.142342
2016-04-15,81.769997,81.830002,81.120003,81.440002,3245300,80.329754
2016-04-14,80.989998,81.360001,80.760002,81.260002,4038900,80.152208
2016-04-13,81.949997,82.00,80.82,81.080002,5257300,79.974661
2016-04-12,81.260002,81.699997,80.910004,81.309998,3624000,80.201522
2016-04-11,81.720001,82.139999,81.019997,81.150002,3099900,80.043707
2016-04-08,81.559998,82.059998,81.18,81.370003,4172100,80.260709
2016-04-07,83.379997,83.540001,81.199997,81.300003,5653200,80.191663
2016-04-06,83.339996,85.099998,83.120003,83.690002,8017000,82.549081
2016-04-05,85.769997,86.00,82.550003,83.360001,9433900,82.223578
2016-04-04,86.639999,86.790001,84.82,86.309998,5114600,85.133358
2016-04-01,84.239998,86.839996,84.019997,86.699997,6502500,85.518041
2016-03-31,83.830002,84.470001,83.699997,84.239998,3820400,83.091578
2016-03-30,83.50,83.860001,83.029999,83.629997,2811100,82.489893
2016-03-29,82.919998,83.059998,81.940002,83.019997,2819800,81.888209
2016-03-28,82.330002,83.220001,82.059998,82.790001,1738000,81.661348
2016-03-24,82.239998,82.339996,81.720001,82.330002,1947000,81.20762
2016-03-23,82.82,83.050003,82.080002,82.339996,2114100,81.217479
2016-03-22,83.160004,83.339996,82.260002,82.800003,2787400,81.671214
2016-03-21,83.860001,84.059998,83.489998,83.550003,2602100,82.41099
2016-03-18,83.760002,84.580002,83.059998,83.940002,9460300,82.795672
